#{"t_start": 1655027203.6416228, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
36,108,99.934
-31,71,99.961
42,216,100.058499
38,108,100.107498
-15,71,100.137498
5,145,100.200999
-19,71,100.228999
116,288,100.355998
26,108,100.402998
-5,71,100.434998
48,144,100.498032
20,108,102.134003
-11,71,102.1615
-3,73,102.1915
-3,71,102.2225
3,71,102.253001
-3,71,102.283033
-35,71,102.314001
68,180,102.395999
0,110,102.443498
56,180,102.518998
30,108,102.565998
2,144,102.630498
50,288,102.749499
44,216,102.841999
-28,108,102.890001
-9,71,102.921001
34,216,104.585499
26,180,104.666001
-27,71,104.699001
44,108,104.742501
7,71,104.769998
1,109,104.812999
26,108,104.860493
-7,73,104.892012
34,112,104.941998
-25,71,104.972501
-6,144,105.0345
134,360,105.225999
-3,71,105.258498
84,288,105.381503
37,147,105.441998
-41,71,105.472999
30,108,107.058
28,108,107.103
-23,75,107.132
24,108,107.1745
48,108,107.223498
5,71,107.256
16,112,107.305998
24,112,107.357001
40,108,107.4075
20,112,107.457
-33,71,107.487
-32,74,107.519499
-15,71,107.550498
-11,71,107.581499
-11,71,107.611999
-13,73,107.643498
133,399,107.816498
28,144,107.878001
53,147,109.553
66,216,109.641498
-3,71,109.670999
37,181,109.746
34,108,109.795001
-11,71,109.827498
9,73,109.861498
62,216,109.951998
7,75,109.981499
-36,108,110.027498
-32,144,110.0865
-23,71,110.115003
78,216,110.206242
142,432,111.936503
-7,71,111.966503
36,108,112.009
-9,71,112.037003
-7,71,112.065062
30,144,112.1205
7,109,112.163003
-9,71,112.189501
18,108,112.235001
-24,108,112.283
2,108,112.331001
2,144,112.386503
-23,71,112.413493
56,180,112.485498
-26,108,112.529002
36,108,112.570003
-13,71,112.601501
40,108,112.649998
68,252,112.760499
-15,71,114.362998
-3,71,114.3936
50,180,114.467999
1,71,114.497999
1,75,114.530499
20,108,114.578498
-5,71,114.605998
40,148,114.663998
-1,71,114.694
42,144,114.757499
-24,108,114.806001
9,71,114.838001
-9,109,114.881499
48,144,114.936499
183,471,115.147998
-5,71,115.177499
32,180,116.790998
40,108,116.8375
36,108,116.8855
45,219,116.981999
20,180,117.054999
42,108,117.099502
52,180,117.1805
36,108,117.227567
2,144,117.289998
-11,71,117.321002
-6,110,117.367502
-7,73,117.396002
34,108,117.4435
44,108,117.487999
-18,72,117.518498
70,252,117.626778
-11,71,119.201001
30,108,119.242499
50,108,119.284001
48,144,119.341499
-1,71,119.373498
-12,108,119.419499
27,145,119.478998
64,252,119.581998
38,108,119.6295
21,111,119.672999
-5,71,119.703499
-33,71,119.730999
-13,109,119.775498
-15,71,119.806
40,220,119.961001
4,108,120.007042
-43,71,120.03505
122,396,121.968998
50,216,122.056001
56,144,122.115499
32,108,122.159999
8,216,122.255003
-5,71,122.286998
30,144,122.352
9,73,122.383498
-26,72,122.412499
-9,71,122.444999
16,108,122.488998
38,108,122.532999
17,145,122.594498
42,144,122.656
26,108,122.7025
58,216,124.336
32,108,124.381498
-1,71,124.412499
-35,71,124.440999
34,144,124.501501
-1,71,124.533998
12,108,124.578999
40,218,124.671
-2,72,124.701999
3,71,124.729499
98,360,124.8745
-5,71,124.903498
22,144,124.963499
-3,71,124.994499
21,111,125.043999
30,144,125.107059
2,108,126.717502
-11,71,126.745498
60,180,126.816501
-6,108,126.860503
50,288,126.974999
26,108,127.023501
-27,71,127.050998
7,71,127.083499
9,71,127.114
58,252,127.218999
0,108,127.266503
-5,71,127.298507
-7,71,127.328001
-11,71,127.360999
9,73,127.394501
26,108,127.439499
32,180,127.515
12,180,129.143609
0,108,129.193135
8,108,129.239999
121,363,129.4
48,144,129.455999
-7,71,129.486498
32,108,129.531065
62,216,129.626499
31,111,129.670502
-17,71,129.6985
86,324,129.836502
-9,71,129.869999
-3,71,129.9005
10,252,131.526999
38,144,131.595773
30,108,131.658999
11,71,131.690498
34,432,131.894999
-25,109,131.943999
3,71,131.973999
-21,71,132.003499
46,144,132.062081
100,360,132.240999
9,75,132.275498
-8,72,132.309001
62,216,132.401998
56,252,134.097
2,112,134.148001
-22,72,134.176499
42,180,134.259999
96,288,134.3845
45,111,134.431499
-24,108,134.478634
-27,71,134.511585
-2,72,134.544502
17,75,134.579499
70,252,134.681998
24,108,134.7275
10,144,134.787
36,108,134.833001
-3,71,134.861001
-4,72,134.891735
8,108,136.556499
96,432,136.736003
6,108,136.778001
-37,71,136.811876
-37,111,136.862
5,73,136.894499
60,180,136.968498
36,108,137.013499
42,180,137.097499
-25,71,137.129998
18,108,137.180066
30,252,137.2905
-5,71,137.322001
-5,71,137.354999
0,108,137.399999
32,108,139.063502
-22,144,139.120503
22,144,139.178634
-3,71,139.208999
9,71,139.241999
-4,108,139.291998
1,71,139.3245
50,144,139.390499
-10,72,139.4215
24,144,139.482002
-5,71,139.515501
70,252,139.629
42,180,139.706032
42,144,139.769565
-32,108,139.812001
13,73,139.840998
7,73,139.8745
-17,109,139.918503
36,216,141.652498
-11,71,141.681999
32,108,141.731
-3,71,141.762502
66,216,141.847501
6,180,141.930499
28,252,142.040501
48,144,142.099001
-18,144,142.163498
1,71,142.195499
52,180,142.275498
-10,144,142.338
32,108,142.403498
-15,71,142.436499
46,288,144.118999
-1,71,144.146499
-13,71,144.174502
36,108,144.2215
-9,71,144.2485
6,108,144.29
4,146,144.3555
-33,71,144.385499
52,144,144.444
-17,71,144.476002
6,108,144.523503
-13,71,144.565503
54,288,144.718
-10,144,144.778771
26,108,144.8225
86,288,146.507998
32,144,146.572502
34,108,146.614502
1,71,146.6445
28,108,146.693501
35,181,146.775001
34,108,146.821
152,360,146.971003
-7,71,146.999999
48,144,147.062501
48,252,147.166998
34,112,147.2175
26,180,147.290498
48,144,147.3515
32,146,148.9845
-13,71,149.018211
-5,71,149.051499
11,75,149.087499
30,144,149.153
-7,71,149.183498
10,144,149.249001
-7,71,149.281
-15,71,149.314117
7,75,149.350499
38,144,149.416998
4,144,149.482
-9,71,149.514999
42,108,149.583998
6,108,149.635999
40,108,149.695499
13,73,149.728999
0,108,149.777498
16,108,149.826003
-10,182,151.466001
44,108,151.510998
-6,72,151.5385
-2,108,151.583999
7,71,151.612
24,108,151.660151
1,109,151.704502
30,180,151.781498
5,75,151.8125
40,184,151.887003
12,108,151.929998
2,112,151.9775
52,180,152.055998
34,108,152.100582
16,74,152.128999
3,71,152.158499
16,180,152.235999
78,216,153.9135
56,216,154.013577
-5,71,154.0465
48,216,154.1465
46,218,154.243499
4,108,154.295003
60,148,154.376998
98,324,154.526002
46,216,154.616999
38,180,154.695498
-7,71,154.72676
82,252,154.837998
0,74,156.466501
-3,71,156.494998
13,73,156.523003
32,108,156.566001
42,144,156.632498
30,108,156.675499
-6,110,156.723498
-8,108,156.770499
48,144,156.834499
-5,71,156.875476
-17,71,156.909501
38,108,156.9585
38,108,157.005499
-27,71,157.037
-45,71,157.069598
-10,108,157.11561
-11,71,157.14503
26,180,157.2245
1,71,157.257498
-1,71,157.287712
30,108,157.334499
-7,71,158.917499
28,180,158.998
38,108,159.04933
-5,71,159.082
8,144,159.148999
-3,71,159.178687
74,218,159.273976
-13,75,159.306502
-11,71,159.338575
56,252,159.450501
53,219,159.541694
28,108,159.583675
-6,72,159.616231
-3,71,159.648998
38,108,159.695499
22,108,159.743528
1,71,159.770998
5,71,161.348498
46,216,161.442999
1,71,161.470999
12,108,161.515502
70,216,161.602
32,108,161.644498
-9,71,161.675499
88,252,161.784499
5,71,161.8145
36,144,161.875002
1,71,161.907
64,216,161.997498
38,108,162.046999
30,182,162.123511
-17,71,162.151498
-12,108,163.791
5,75,163.821501
22,144,163.881002
38,108,163.925326
48,216,164.014998
36,180,164.092999
18,144,164.15863
-8,144,164.219002
32,108,164.263002
74,216,164.354
1,71,164.386
28,108,164.433
40,144,164.4985
80,290,164.6255
-3,71,164.653999
1,71,166.246999
-5,71,166.280002
-39,71,166.312499
44,146,166.377999
-11,71,166.41
-9,71,166.439999
36,108,166.483999
-5,71,166.512998
40,144,166.571499
20,108,166.616001
18,108,166.658999
42,180,166.737499
-3,71,166.770499
30,144,166.834
58,180,166.905003
43,181,166.982501
-47,71,167.013498
-9,71,167.041999
54,216,168.722999
86,360,168.885998
-4,72,168.918998
38,180,168.994
58,216,169.114498
26,110,169.164999
-4,216,169.262498
46,144,169.324498
-5,71,169.356999
-9,71,169.384631
36,108,169.432097
56,252,169.546499
8,216,171.226499
4,110,171.273
30,108,171.321502
38,108,171.363503
44,108,171.405498
-8,72,171.434498
40,108,171.481998
14,180,171.556499
32,108,171.603817
-2,72,171.637499
22,144,171.700998
46,108,171.748498
-13,109,171.798998
-26,108,171.847499
-4,108,171.892999
-1,71,171.920499
40,108,171.965999
-9,71,171.998582
36,180,172.069
30,180,173.728
-17,71,173.7605
16,108,173.803501
38,108,173.845498
11,75,173.876499
14,108,173.919498
18,108,173.964535
-9,71,173.995002
52,180,174.073316
16,108,174.115999
48,144,174.176998
40,108,174.219702
-6,72,174.251503
-12,72,174.280502
80,216,174.369999
30,108,174.413498
16,144,174.472499
38,144,176.1205
20,108,176.166501
66,216,176.2655
32,108,176.315002
46,144,176.373998
56,216,176.468837
48,144,176.532999
38,108,176.5755
114,288,176.695606
18,112,176.742002
-41,71,176.774116
42,108,176.82355
12,144,176.885
1,71,176.915502
40,108,176.959562
52,148,178.573502
94,324,178.709998
82,144,178.772006
-5,75,178.802499
22,108,178.850498
-3,71,178.880498
-9,71,178.909499
-17,71,178.941499
90,360,179.0905
36,110,179.142
-1,71,179.175998
46,144,179.246001
42,144,179.313998
1,71,179.345999
14,360,181.047501
1,73,181.078086
3,71,181.107503
32,108,181.150499
-1,71,181.1895
50,144,181.258
-3,71,181.288
-6,72,181.317499
8,72,181.346499
70,288,181.472452
-1,71,181.499499
11,71,181.526998
38,108,181.573502
76,180,181.652
23,109,181.695503
-5,71,181.7235
30,180,181.797498
3,75,181.832996
0,72,183.479998
4,112,183.524498
44,216,183.617499
40,108,183.667
78,324,183.805998
-1,71,183.836503
14,108,183.883
2,108,183.9295
-12,72,183.958004
20,108,183.999499
22,108,184.047998
38,180,184.128498
1,71,184.157501
-1,71,184.185999
-24,72,184.214498
66,216,184.300503
102,360,186.047807
-19,71,186.080498
40,144,186.146
3,71,186.1765
-3,71,186.208999
46,180,186.281
94,288,186.4065
19,109,186.451499
-11,71,186.4795
38,144,186.541498
40,180,186.617499
74,252,186.722499
59,219,188.363
-36,72,188.395999
32,108,188.454998
32,144,188.5125
36,288,188.630498
-5,71,188.6595
-15,71,188.691999
-1,71,188.7225
3,71,188.754999
-8,72,188.787499
52,254,188.896999
-24,72,188.928999
42,110,188.978999
52,144,189.045499
-40,108,189.093078
2,74,189.125159
48,180,189.200001
-20,144,190.824558
26,146,190.884002
28,108,190.926001
0,108,190.972
-7,71,191.000501
30,144,191.063
44,180,191.142502
34,112,191.1885
72,252,191.295499
50,180,191.3755
26,108,191.4175
46,180,191.493001
44,144,191.551003
22,144,191.613537
-5,73,191.646547
44,288,193.358999
26,144,193.444499
36,144,193.508002
-1,71,193.5375
-21,71,193.567998
-1,71,193.599999
-13,71,193.630498
-13,71,193.658499
42,108,193.704499
36,108,193.748501
1,71,193.778501
38,144,193.839544
-13,71,193.8705
34,252,193.981503
38,108,194.024503
44,108,194.066214
42,252,195.741501
-10,108,195.788501
1,71,195.817502
-15,73,195.847498
50,180,195.932499
48,108,195.976
-10,180,196.056999
-4,148,196.117003
46,180,196.194499
24,180,196.276499
34,108,196.3205
-9,71,196.350501
80,216,196.446501
8,108,196.4925
52,108,196.544226
26,108,196.591
70,216,198.273502
28,108,198.318998
-4,74,198.350499
-8,112,198.399001
-13,71,198.425999
50,144,198.483499
26,72,198.512999
-13,71,198.543001
-13,71,198.575
72,288,198.699999
18,108,198.744998
50,182,198.823499
-29,71,198.8515
118,324,198.980998
32,108,199.025002
-40,72,200.599502
32,108,200.646999
38,252,200.751499
62,252,200.865938
-27,71,200.898
-13,75,200.929999
26,144,200.9955
-7,71,201.023999
98,288,201.1495
12,144,201.211499
-4,72,201.241498
-2,108,201.287499
52,180,201.366998
28,108,201.415499
42,108,201.460503
1,71,203.043
20,108,203.086999
16,180,203.1675
8,108,203.210999
1,71,203.238499
42,180,203.312499
-17,109,203.357001
