#{"t_start": 1654704754.9331267, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
158,72,84.292498
1,71,84.404
1,71,84.52
-1,71,84.642499
1,71,84.748004
154,72,84.861501
3,75,84.994
12,108,85.168
62,72,85.282001
3,71,85.404
3,71,85.538999
47,109,85.724998
-1,71,85.837002
166,72,85.943499
-1,71,86.048501
150,72,86.159498
66,108,86.326499
3,71,86.429999
163,71,86.541999
159,71,86.650499
158,72,86.767998
-19,71,86.8765
1,71,86.993002
1,71,87.102
1,71,87.204998
1,71,87.321
1,71,87.433502
149,71,87.5645
3,71,87.678225
1,71,87.7825
-12,144,88.014502
151,71,88.120502
-4,108,88.288
154,72,88.398998
62,108,88.559
-1,71,88.673999
1,71,88.871999
2,108,89.062
-2,72,89.190499
163,71,89.305393
1,71,89.417
163,71,89.553499
3,71,89.653998
151,71,89.7645
1,71,89.877001
-1,71,89.982499
-9,71,90.103501
155,71,90.248
1,71,90.350998
162,72,90.4515
144,72,90.5725
1,71,90.733002
1,71,90.8885
2,108,91.063499
149,71,91.182
66,108,91.374499
-1,71,91.4855
-1,71,91.5955
147,71,91.705499
1,71,91.837499
0,72,91.943498
1,71,92.047499
-1,71,92.155499
-1,71,92.266499
30,108,92.4435
147,71,92.547999
155,71,92.654
-2,72,92.7665
0,112,92.956
1,71,93.063998
147,71,93.182
12,108,93.349
162,72,93.479001
1,71,93.62
154,72,93.743999
3,71,93.859498
3,71,93.983
1,71,94.097998
1,71,94.202499
1,71,94.309
-42,72,94.420999
73,109,94.587499
158,72,94.696032
62,108,94.857499
158,72,94.976
0,74,95.088501
-1,71,95.234505
154,72,95.363501
1,73,95.4935
150,72,95.620998
138,72,95.732501
12,108,95.890499
1,73,96.002999
-1,71,96.108499
38,108,96.28
10,144,96.52
-1,75,96.642999
5,71,96.769498
-1,71,96.874999
9,71,96.981
-8,146,97.220999
-53,71,97.338999
75,71,97.465
67,181,97.767998
0,72,97.879781
1,71,97.987999
114,72,98.119999
-5,71,98.2265
142,72,98.335999
-6,108,98.516
162,72,98.636999
11,71,98.783032
1,71,98.908999
-1,71,99.02
1,71,99.1285
12,108,99.302499
154,72,99.406005
2,108,99.5795
142,72,99.677999
0,108,99.835
12,108,100.008998
155,71,100.123499
4,144,100.365999
9,71,100.477499
60,144,100.7025
-1,71,100.821499
1,71,100.940999
2,74,101.058499
0,72,101.177499
118,72,101.302657
122,72,101.429
155,71,101.5385
1,71,101.652755
-40,72,101.781499
143,71,101.977
55,145,102.230002
-11,75,102.353499
-1,71,102.470501
0,108,102.658004
167,71,102.769499
1,71,102.878499
156,72,102.9785
1,71,103.105001
2,108,103.276998
-14,108,103.442499
3,73,103.551999
1,71,103.668012
2,144,103.9295
1,71,104.06
9,71,104.163
1,71,104.2795
126,72,104.3905
114,72,104.506
0,108,104.683
1,71,104.797589
131,71,104.904001
1,71,105.0425
139,71,105.1505
0,72,105.259001
127,71,105.367998
119,71,105.474499
1,71,105.589
-1,71,105.7185
-17,71,105.831502
119,71,105.933503
121,71,106.044499
137,71,106.160498
-47,73,106.272501
1,71,106.387
159,71,106.507
-1,71,106.646499
146,72,106.769
151,71,106.87768
138,72,106.985999
1,71,107.101001
1,71,107.204999
-1,71,107.318
1,71,107.432499
8,108,107.6355
0,144,107.888998
11,71,107.9985
167,71,108.112504
-1,71,108.225498
-1,71,108.340598
3,73,108.4665
-50,72,108.571
56,108,108.7925
