#{"t_start": 1653991676.9744394, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
-27,71,3.33218
-37,71,3.339232
-19,71,3.346445
-46,108,3.358397
-31,71,3.364954
-27,75,3.372507
-29,71,3.379136
-33,71,3.386742
-29,71,3.393353
-37,71,3.3999
-29,71,3.406951
-21,71,3.413626
-33,71,3.420252
-24,108,3.430238
14,72,3.437315
-23,71,3.444131
-29,71,3.450429
-29,71,3.459281
-15,71,3.465821
-15,71,3.47236
-27,71,3.479398
-33,71,3.486442
-27,71,3.493988
-27,71,3.500538
-31,71,3.507657
-21,71,3.513788
-20,108,3.524506
-29,71,3.531217
-35,71,3.537916
-44,144,3.551231
-34,108,3.561428
-20,108,3.572843
-21,71,3.579503
-29,71,3.587085
-15,71,3.593669
-32,72,3.600216
-23,71,3.607774
-46,108,3.617378
-29,71,3.624461
-35,71,3.630568
-17,71,3.637894
-29,71,3.644099
-26,72,3.650856
-21,71,3.657362
-37,71,3.663773
-15,71,3.670619
-35,71,3.677021
-46,144,3.690477
-15,71,3.696935
-27,71,3.703121
-32,108,3.713417
-26,72,3.721071
-21,71,3.727625
-2,74,3.734188
-31,71,3.740743
-27,71,3.747799
-13,71,3.754343
-29,71,3.760891
-44,144,3.774504
-31,71,3.781061
-33,71,3.787616
-21,71,3.794176
-43,71,3.800735
-30,108,3.810818
-33,109,3.820904
-19,71,3.827447
-17,71,3.83405
-50,144,3.847798
-16,72,3.85454
-27,71,3.861438
-29,71,3.868097
-43,71,3.875298
-27,71,3.881875
-25,71,3.890026
-39,71,3.89929
-21,71,3.907438
-27,71,3.913976
-27,71,3.921535
-17,71,3.928084
-26,108,3.938176
-39,71,3.95429
-31,71,3.961289
-35,71,3.968291
-3,71,3.976293
-29,71,3.983294
-23,71,3.989296
-38,112,4.000299
-25,71,4.0073
-14,72,4.015303
-25,71,4.022305
-31,71,4.029306
-13,71,4.037308
-19,71,4.044308
-19,71,4.05131
-21,109,4.062313
-18,72,4.069316
-19,71,4.076318
-31,71,4.083318
-25,71,4.090319
-23,71,4.097321
-27,71,4.104326
-31,71,4.111323
-19,71,4.118325
-32,108,4.129328
-20,72,4.136332
-19,71,4.143331
-18,108,4.153336
-25,71,4.160335
-27,181,4.177339
-34,108,4.187343
-23,71,4.194342
-43,71,4.201344
-39,71,4.208212
-31,71,4.214381
-29,71,4.220973
-25,71,4.228278
-31,71,4.235539
-31,71,4.243274
-36,72,4.249305
-43,71,4.256531
-31,71,4.262784
-25,71,4.269057
-33,71,4.27578
-25,71,4.28251
-19,71,4.289625
-29,71,4.296174
-21,71,4.302728
-7,71,4.309279
-16,74,4.316339
-13,71,4.322883
-31,71,4.329434
-31,71,4.335985
-32,108,4.346069
-40,144,4.360692
-20,108,4.371404
-31,71,4.379127
-19,71,4.385466
